Marque;Segment;Trage;SEGMENT_MODOP;reporting+70;PVFP;PM actu;collecte;rachatsNBtotactu;DCNBtotactu;prestations;;;;;
MAAF;Prevoyance;0-30ans;NC;0;270250,889;0;3764162,02;0;1030251,1;1030251,1;;;;;
MAAF;Prevoyance;30-40ans;NC;0;392757,384;0;5462517,02;0;1495090,84;1495090,84;;;;;
MAAF;Prevoyance;40-50ans;NC;0;477589,181;0;6622334,03;0;1812532,9;1812532,9;;;;;
MAAF;Prevoyance;50-60ans;NC;0;460335,881;0;6342580,03;0;1735964,22;1735964,22;;;;;
MAAF;Prevoyance;60-70ans;NC;0;1537103,94;0;22970475,1;0;4314370,74;4314370,74;;;;;
MAAF;Prevoyance;70-75ans;NC;1;0;0;0;0;0;0;;;;;
GMF;EURO;+80ans;GP;1;170296,798;2,51E+08;27512313,8;5423500;25106059;30529559;;;;;
GMF;EURO;+80ans;PC;1;603593,62;8,09E+08;86926105,8;10415188;86722567;97137755;;;;;
GMF;EURO;+80ans;PP;1;16236,3442;19612512,6;1954246,99;491233,5;1695678;2186911,5;;;;;
GMF;EURO;0-30ans;GP;0;677621,833;4,98E+08;28511184,6;27758755;572373,9;28331128,9;;;;;
GMF;EURO;0-30ans;PC;0;362551,382;2,11E+08;9146370,28;7985799;339336,4;8325135,4;;;;;
GMF;EURO;0-30ans;PP;0;17655,2202;13543256,4;895334,585;934749,2;11721,99;946471,19;;;;;
GMF;EURO;30-40ans;GP;0;616157,503;4,25E+08;23526626,6;20844035;1448175;22292210;;;;;
GMF;EURO;30-40ans;PC;0;601513,469;3,46E+08;14703509;11690518;1376651;13067169;;;;;
GMF;EURO;30-40ans;PP;0;53583,103;38391605,7;2421798,52;2301030;123368,7;2424398,7;;;;;
GMF;EURO;40-50ans;GP;0;712166,329;4,73E+08;24053090,9;18746792;3966314;22713106;;;;;
GMF;EURO;40-50ans;PC;0;1004081,24;5,74E+08;22819864,5;15297029;5273848;20570877;;;;;
GMF;EURO;40-50ans;PP;0;142893,742;97845515,3;5694679,71;4810120;806747,2;5616867,2;;;;;
GMF;EURO;50-60ans;GP;0;1196139,51;8,53E+08;46238678,7;27411150;16640219;44051369;;;;;
GMF;EURO;50-60ans;PC;0;2750744,3;1,70E+09;70651468,1;36788037;35832962;72620999;;;;;
GMF;EURO;50-60ans;PP;0;412519,289;2,88E+08;15234541,9;10277054;5582375;15859429;;;;;
GMF;EURO;60-70ans;GP;0;1522874,9;1,21E+09;76877698,3;33891844;43824689;77716533;;;;;
