Marque;reporting+70;Trage;SEGMENT_MODOP;PVFP;CAYVP;NBSTIONS;NBVERSEURS;CAHVP;CAYVPUC;collecte;presta;PM actu;;;;;;;;
DAV;0;0-30ans;PP;109820,62;2932757,38;8609,00;745,00;2719234,24;615654,96;4344006,59;50208,44;60291055,72;;;;;;;;
DAV;0;30-40ans;GP;1826686,19;38072715,30;121067,00;6910,00;35793978,84;5201578,52;57788868,85;4657194,31;918813670,47;;;;;;;;
DAV;0;30-40ans;PC;4005913,43;65754822,16;18212,00;2713,00;64729883,75;20915556,54;71133904,72;4030596,69;1329315037,00;;;;;;;;
DAV;0;30-40ans;PP;278461,66;4825399,47;6747,00;610,00;4478254,29;935271,77;7284918,17;425115,52;120051747,10;;;;;;;;
DAV;1;40-50ans;GP;2769098,59;47991733,30;174687,00;8488,00;44734551,59;6759951,97;75504951,36;12251784,57;1278562350,01;;;;;;;;
DAV;1;40-50ans;PC;8765559,82;127140612,70;43440,00;5909,00;125309306,80;44361835,88;138605498,10;21084097,80;2770707606,00;;;;;;;;
DAV;1;40-50ans;PP;752645,09;11388169,78;19243,00;1618,00;10431354,89;2508519,48;18076780,45;2648626,12;308568343,90;;;;;;;;
DAV;0;50-60ans;GP;4031103,69;78742305,51;229821,00;11126,00;73582471,74;10102979,08;121617906,67;39576004,59;2080065887,22;;;;;;;;
DAV;0;50-60ans;PC;20905012,42;324147591,40;98050,00;12372,00;321007945,85;102215767,50;345217843,70;125228028,15;6999643547,06;;;;;;;;
DAV;0;50-60ans;PP;1401117,01;26528554,86;33996,00;3054,00;25266328,55;4732009,83;35555214,11;11380812,52;623464569,10;;;;;;;;
DAV;0;60-70ans;GP;4027157,42;119353201,37;270459,00;11359,00;115038945,70;12796663,09;157761663,86;79985971,24;2396737672,17;;;;;;;;
DAV;0;60-70ans;PC;28790306,16;582412903,41;152041,00;14439,00;580119900,81;158343433,84;597697412,90;346128136,50;10735535314,66;;;;;;;;
DAV;0;60-70ans;PP;1998027,21;56325439,35;65164,00;5466,00;55452814,03;8789138,95;62509003,80;32295568,50;1024663084,80;;;;;;;;
DAV;1;70-75ans;GP;1099663,65;44856179,90;137683,00;4324,00;43271942,16;4235554,31;58202192,64;37372573,90;752946848,46;;;;;;;;
DAV;1;70-75ans;PC;7623892,28;210012635,45;90106,00;5214,00;209539101,86;52265612,30;215737285,95;156946991,02;3308924150,77;;;;;;;;
DAV;1;70-75ans;PP;505908,86;20561369,06;29640,00;1927,00;20331536,87;2574375,46;22157779,70;14454622,22;318555228,32;;;;;;;;
DAV;1;75-80ans;GP;397947,29;26681513,80;94785,00;2918,00;25928333,10;1658942,12;29804937,26;22184742,89;348499124,68;;;;;;;;
DAV;1;75-80ans;PC;2449495,09;106271949,80;57532,00;2609,00;106045137,97;24327628,85;102446864,07;81979582,77;1309931925,01;;;;;;;;
DAV;1;75-80ans;PP;67889,45;4031413,49;7349,00;343,00;3986260,29;440224,71;4279169,13;2996950,46;50209217,00;;;;;;;;
DAV;1;+80ans;Ex PC;6963,17;1150209,19;2026,00;49,00;1140934,12;2668,00;1202149,26;734734,14;8299827,91;;;;;;;;
DAV;0;0-30ans;Ex PC;12400,28;245292,42;1140,00;59,00;222748,42;42120,28;410438,78;5840,79;4292970,37;;;;;;;;
DAV;0;30-40ans;Ex PC;10461,70;590862,49;997,00;44,00;575024,00;45974,23;698080,98;16450,61;6055586,63;;;;;;;;
DAV;1;40-50ans;Ex PC;11403,15;389805,71;1059,00;34,00;370849,65;49872,64;528611,02;36849,12;5526571,50;;;;;;;;
DAV;0;50-60ans;Ex PC;21268,57;727303,28;1573,00;54,00;686100,79;43298,00;1022407,28;147255,82;11119196,60;;;;;;;;
DAV;0;60-70ans;Ex PC;35266,19;751313,68;2130,00;67,00;724553,00;228030,15;949029,40;296921,18;11147797,90;;;;;;;;
DAV;0;60-70ans;NC;1634904,17;0,00;4,00;0,00;0,00;0,00;24220590,93;4504761,84;0,00;;;;;;;;
DAV;1;70-75ans;Ex PC;2390,22;154261,23;1076,00;20,00;147601,63;6440,00;198771,68;73010,61;1800692,50;;;;;;;;
DAV;1;75-80ans;Ex PC;6590,76;598547,57;760,00;17,00;593562,73;10000,00;629344,88;370298,99;6630290,89;;;;;;;;
DAV;0;0-30ans;NC;602473,14;0,00;0,00;0,00;0,00;0,00;8708123,89;2087349,10;0,00;;;;;;;;
DAV;0;30-40ans;NC;875782,77;0,00;0,00;0,00;0,00;0,00;13914721,06;3558859,84;0,00;;;;;;;;
DAV;1;40-50ans;NC;983333,74;0,00;0,00;0,00;0,00;0,00;14877838,59;3720540,90;0,00;;;;;;;;
DAV;0;50-60ans;NC;813104,37;0,00;0,00;0,00;0,00;0,00;12022635,77;3002625,22;0,00;;;;;;;;
DAV;1;70-75ans;NC;13174,84;0,00;0,00;0,00;0,00;0,00;164606,35;20804,94;0,00;;;;;;;;
DAV;1;75-80ans;NC;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA;1;+80ans;GP;103041,28;13337683,95;53846,00;905,00;13131628,88;517645,55;14585962,03;10990727,00;98481928,76;;;;;;;;
MMA;1;+80ans;PC;527767,81;94392867,06;50068,00;1487,00;94275733,09;8144390,18;97390006,91;78128488,78;665915712,61;;;;;;;;
MMA;1;+80ans;PP;5494,50;983894,24;963,00;26,00;980221,60;31120,00;1010300,03;592488,47;5631955,08;;;;;;;;
MMA;0;0-30ans;GP;269887,03;7833200,22;40219,00;2294,00;7492528,00;1435706,06;11195359,43;618017,93;159600258,33;;;;;;;;
MMA;0;0-30ans;PC;3786728,45;93159567,79;19398,00;2315,00;92521361,96;23998355,01;96635923,11;789553,33;1777021011,00;;;;;;;;
MMA;0;0-30ans;PP;8177,50;399456,86;815,00;95,00;354884,42;124091,84;571468,10;2799,28;5442188,32;;;;;;;;
MMA;0;30-40ans;GP;518490,90;7953490,11;33571,00;1440,00;7561225,63;2107046,38;15018554,15;2123095,61;192413387,47;;;;;;;;
MMA;0;30-40ans;PC;2206152,19;39427831,10;13306,00;1985,00;38509301,80;16219458,84;44015130,22;1843735,86;720261435,00;;;;;;;;
MMA;0;30-40ans;PP;33539,61;554779,52;287,00;64,00;504740,71;167815,15;864412,60;45406,64;15121352,00;;;;;;;;
MMA;1;40-50ans;GP;968547,25;13148774,70;60040,00;2511,00;12378013,67;2842743,40;23522560,06;4601414,42;354363382,01;;;;;;;;
MMA;1;40-50ans;PC;4894195,04;79146486,60;32459,00;4378,00;77683395,10;33723802,10;87877134,40;11010072,24;1575479293,00;;;;;;;;
MMA;1;40-50ans;PP;110202,86;1655285,92;1089,00;220,00;1550428,64;733489,21;2255295,02;319900,76;41937358,90;;;;;;;;
